epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,20239.8,0.65771,0.69162,1.19437,0.87735,0.81978,0.88682,0.63283,1.06444,0.89975,1.23913,0.005545,0.005545,0.005545
92,20460.7,0.65973,0.6862,1.19801,0.87593,0.82095,0.88649,0.63438,1.06291,0.90029,1.23812,0.0054955,0.0054955,0.0054955
93,20681.2,0.66157,0.68831,1.19792,0.87758,0.82298,0.88685,0.63431,1.06303,0.89808,1.23848,0.005446,0.005446,0.005446
94,20902.7,0.65567,0.67635,1.1934,0.878,0.81976,0.88733,0.63361,1.06138,0.89773,1.23774,0.0053965,0.0053965,0.0053965
95,21124.5,0.65802,0.6844,1.19593,0.88004,0.82022,0.88698,0.63439,1.0621,0.89701,1.23798,0.005347,0.005347,0.005347
96,21343,0.65612,0.6743,1.19257,0.88194,0.81996,0.88681,0.6335,1.06265,0.89626,1.2386,0.0052975,0.0052975,0.0052975
97,21562.3,0.65028,0.66519,1.19005,0.8776,0.82222,0.88739,0.63316,1.06156,0.89617,1.23783,0.005248,0.005248,0.005248
98,21779.7,0.6506,0.67378,1.18877,0.87524,0.82295,0.88748,0.63438,1.06057,0.89608,1.23773,0.0051985,0.0051985,0.0051985
99,22000.7,0.64826,0.66469,1.18746,0.87555,0.82304,0.88806,0.63579,1.06008,0.8968,1.23679,0.005149,0.005149,0.005149
100,22222.3,0.64495,0.65931,1.18473,0.87557,0.82212,0.88858,0.63535,1.05918,0.89564,1.23642,0.0050995,0.0050995,0.0050995
101,22443.4,0.64574,0.66595,1.18406,0.88249,0.81882,0.88897,0.63655,1.05927,0.8957,1.23654,0.00505,0.00505,0.00505
102,22661.7,0.64431,0.65927,1.18362,0.88629,0.81537,0.88841,0.63628,1.05925,0.89726,1.23657,0.0050005,0.0050005,0.0050005
103,22883.8,0.64019,0.65209,1.17869,0.88637,0.81432,0.88704,0.63609,1.06044,0.89795,1.23865,0.004951,0.004951,0.004951
104,23103.8,0.64031,0.65256,1.1812,0.88795,0.81398,0.88671,0.63606,1.06045,0.89599,1.23867,0.0049015,0.0049015,0.0049015
105,23323.8,0.63898,0.65052,1.17819,0.88385,0.81548,0.88732,0.63626,1.06071,0.89756,1.23957,0.004852,0.004852,0.004852
106,23544.7,0.63591,0.65038,1.17926,0.88438,0.81619,0.88809,0.63592,1.06113,0.8974,1.2395,0.0048025,0.0048025,0.0048025
107,23764.6,0.6304,0.6433,1.17482,0.88356,0.81559,0.888,0.63657,1.06137,0.89748,1.23967,0.004753,0.004753,0.004753
108,23985.9,0.63194,0.64333,1.17389,0.88029,0.81981,0.88805,0.63668,1.0609,0.89879,1.23961,0.0047035,0.0047035,0.0047035
109,24205.2,0.63312,0.64525,1.17568,0.87896,0.82092,0.88818,0.63741,1.06168,0.89928,1.23989,0.004654,0.004654,0.004654
110,24426.8,0.62515,0.63727,1.17002,0.8773,0.82019,0.88807,0.63913,1.06173,0.9007,1.2405,0.0046045,0.0046045,0.0046045
111,24648.2,0.62834,0.63824,1.1724,0.87629,0.81964,0.88752,0.63994,1.06169,0.90175,1.2407,0.004555,0.004555,0.004555
112,24868.3,0.62506,0.63399,1.16778,0.87797,0.82048,0.88783,0.63999,1.06165,0.90256,1.24076,0.0045055,0.0045055,0.0045055
113,25087.8,0.62008,0.63228,1.1678,0.88883,0.80986,0.88798,0.64073,1.06302,0.90267,1.24255,0.004456,0.004456,0.004456
114,25308.7,0.62236,0.62989,1.1646,0.88948,0.80993,0.88798,0.64064,1.06168,0.90265,1.24194,0.0044065,0.0044065,0.0044065
115,25529.5,0.61604,0.61841,1.16231,0.88314,0.81541,0.888,0.64099,1.06117,0.90207,1.2415,0.004357,0.004357,0.004357
116,25753.3,0.61937,0.62472,1.16175,0.88508,0.81678,0.88812,0.64169,1.06107,0.90151,1.24112,0.0043075,0.0043075,0.0043075
117,25975.3,0.61605,0.62011,1.1624,0.88508,0.81676,0.88796,0.6422,1.06108,0.90141,1.24125,0.004258,0.004258,0.004258
118,26196.2,0.61846,0.62028,1.16412,0.8836,0.81934,0.88824,0.64186,1.06006,0.90102,1.24079,0.0042085,0.0042085,0.0042085
119,26415.6,0.61459,0.61999,1.16083,0.88355,0.81946,0.88847,0.64276,1.05893,0.8994,1.24065,0.004159,0.004159,0.004159
120,26633.6,0.6117,0.61502,1.15983,0.88375,0.81933,0.88895,0.64394,1.05851,0.90002,1.24077,0.0041095,0.0041095,0.0041095
121,26852.9,0.60754,0.60456,1.15503,0.88464,0.81979,0.88879,0.64376,1.05815,0.90073,1.24076,0.00406,0.00406,0.00406
122,27075.1,0.60906,0.60782,1.15613,0.88486,0.82122,0.88909,0.64492,1.05757,0.89968,1.24002,0.0040105,0.0040105,0.0040105
123,27297.6,0.60597,0.60336,1.15285,0.88596,0.82456,0.88913,0.64449,1.05743,0.89906,1.24036,0.003961,0.003961,0.003961
124,27518.1,0.60178,0.60161,1.1518,0.88575,0.82498,0.88933,0.64399,1.05728,0.90068,1.24017,0.0039115,0.0039115,0.0039115
125,27741.7,0.59791,0.60126,1.14737,0.88186,0.82527,0.88925,0.64394,1.05676,0.90306,1.2401,0.003862,0.003862,0.003862
126,27962.8,0.59769,0.59525,1.14674,0.8821,0.82569,0.88937,0.64386,1.05464,0.90197,1.23809,0.0038125,0.0038125,0.0038125
127,28186.9,0.6016,0.59755,1.15163,0.88217,0.82569,0.8894,0.64487,1.05367,0.90063,1.23767,0.003763,0.003763,0.003763
128,28407.9,0.59569,0.59134,1.1456,0.88176,0.82428,0.88937,0.64598,1.05607,0.90081,1.24073,0.0037135,0.0037135,0.0037135
129,28626.7,0.59274,0.58975,1.14644,0.88314,0.82428,0.88915,0.6449,1.05597,0.89989,1.24054,0.003664,0.003664,0.003664
130,28846.8,0.59315,0.58735,1.14661,0.88705,0.82357,0.88918,0.64488,1.0562,0.90122,1.24052,0.0036145,0.0036145,0.0036145
131,29067.4,0.59385,0.58842,1.14712,0.88706,0.82357,0.88974,0.6454,1.05508,0.90243,1.23962,0.003565,0.003565,0.003565
132,29288,0.58938,0.57781,1.13916,0.88979,0.82697,0.89558,0.64662,1.05343,0.9043,1.23875,0.0035155,0.0035155,0.0035155
133,29505.7,0.58758,0.58099,1.14301,0.88842,0.82626,0.89485,0.64727,1.05309,0.90606,1.23887,0.003466,0.003466,0.003466
134,29725.5,0.58642,0.57986,1.1383,0.88861,0.82626,0.8949,0.64774,1.05318,0.90666,1.23925,0.0034165,0.0034165,0.0034165
135,29943.2,0.58461,0.57643,1.13732,0.88939,0.82626,0.89374,0.64716,1.05317,0.90785,1.23941,0.003367,0.003367,0.003367
136,30161.8,0.58378,0.57435,1.13618,0.88928,0.82613,0.8941,0.64854,1.05319,0.90869,1.24075,0.0033175,0.0033175,0.0033175
137,30381,0.57762,0.56849,1.13623,0.89074,0.82555,0.89389,0.64903,1.05102,0.9106,1.23947,0.003268,0.003268,0.003268
138,30601.6,0.57862,0.56848,1.13361,0.89174,0.82489,0.89436,0.64969,1.049,0.91058,1.23816,0.0032185,0.0032185,0.0032185
139,30821.9,0.57943,0.56382,1.13435,0.89237,0.82429,0.89429,0.65132,1.04983,0.91095,1.23889,0.003169,0.003169,0.003169
140,31041.2,0.57391,0.56431,1.13164,0.89294,0.82484,0.89468,0.65172,1.04978,0.91207,1.23886,0.0031195,0.0031195,0.0031195
141,31259.4,0.57783,0.56964,1.13439,0.89204,0.82555,0.89499,0.6505,1.05159,0.9104,1.24053,0.00307,0.00307,0.00307
142,31481.7,0.56903,0.55695,1.12946,0.88788,0.83258,0.89499,0.64928,1.05095,0.9121,1.24037,0.0030205,0.0030205,0.0030205
143,31703.1,0.5639,0.55277,1.12417,0.89059,0.8287,0.89509,0.64912,1.04931,0.9163,1.23968,0.002971,0.002971,0.002971
144,31922.3,0.5658,0.55754,1.12698,0.89348,0.8265,0.89554,0.65063,1.04934,0.91539,1.23993,0.0029215,0.0029215,0.0029215
145,32140.6,0.56483,0.55222,1.12426,0.89417,0.8261,0.89572,0.65063,1.04954,0.91495,1.24004,0.002872,0.002872,0.002872
146,32360,0.56189,0.54872,1.12262,0.90057,0.8252,0.89709,0.65265,1.04758,0.91511,1.23901,0.0028225,0.0028225,0.0028225
147,32580.2,0.56121,0.55096,1.12065,0.89802,0.82705,0.89706,0.65042,1.04896,0.91563,1.24071,0.002773,0.002773,0.002773
148,32801.2,0.56052,0.54492,1.12306,0.89707,0.82856,0.89716,0.65026,1.04771,0.91545,1.23964,0.0027235,0.0027235,0.0027235
149,33021.7,0.55463,0.53738,1.11824,0.89848,0.82991,0.89779,0.65108,1.04845,0.91545,1.24015,0.002674,0.002674,0.002674
150,33242.9,0.55525,0.53948,1.11641,0.89733,0.82963,0.89793,0.65271,1.04831,0.91714,1.24016,0.0026245,0.0026245,0.0026245
151,33462.3,0.55757,0.541,1.11868,0.89719,0.82958,0.89818,0.65341,1.04882,0.91967,1.24138,0.002575,0.002575,0.002575
152,33680.7,0.55075,0.53438,1.11483,0.89816,0.83142,0.89845,0.65437,1.04939,0.9209,1.24149,0.0025255,0.0025255,0.0025255
153,33900.5,0.55262,0.53349,1.11449,0.89752,0.83102,0.89828,0.65481,1.05022,0.9223,1.24283,0.002476,0.002476,0.002476
154,34121.2,0.5464,0.53145,1.11361,0.90046,0.82952,0.89869,0.65428,1.05099,0.92222,1.24407,0.0024265,0.0024265,0.0024265
155,34342.4,0.54756,0.53161,1.1155,0.89966,0.83026,0.89867,0.65428,1.05178,0.92489,1.24442,0.002377,0.002377,0.002377
156,34562.6,0.54409,0.52313,1.1101,0.89803,0.83323,0.89884,0.65458,1.05163,0.9264,1.24391,0.0023275,0.0023275,0.0023275
157,34782.4,0.53978,0.51721,1.10814,0.8974,0.83449,0.89904,0.65561,1.05166,0.92806,1.24345,0.002278,0.002278,0.002278
158,35004.1,0.53955,0.52151,1.10878,0.8966,0.83449,0.89866,0.65415,1.05293,0.92854,1.24379,0.0022285,0.0022285,0.0022285
159,35224.7,0.53975,0.51579,1.10705,0.90584,0.82464,0.89892,0.65458,1.05278,0.92786,1.24335,0.002179,0.002179,0.002179
160,35445.7,0.53446,0.51169,1.10396,0.91268,0.8216,0.89856,0.65472,1.053,0.92819,1.24346,0.0021295,0.0021295,0.0021295
161,35666,0.53431,0.51621,1.10543,0.91318,0.82286,0.8988,0.65502,1.05321,0.92839,1.24403,0.00208,0.00208,0.00208
162,35886.3,0.5316,0.50846,1.10296,0.91333,0.82459,0.89902,0.6555,1.05241,0.92775,1.24344,0.0020305,0.0020305,0.0020305
163,36107.6,0.52898,0.51482,1.1011,0.91217,0.82614,0.899,0.65511,1.0522,0.92978,1.24356,0.001981,0.001981,0.001981
164,36329.7,0.5267,0.50701,1.09807,0.90994,0.82673,0.89902,0.6566,1.05328,0.93118,1.2449,0.0019315,0.0019315,0.0019315
165,36551.7,0.52551,0.50272,1.09816,0.91067,0.82722,0.89906,0.65651,1.05342,0.9315,1.24576,0.001882,0.001882,0.001882
166,36772,0.52264,0.49988,1.09775,0.90819,0.82679,0.89907,0.65656,1.05375,0.93137,1.24627,0.0018325,0.0018325,0.0018325
167,36991.5,0.52236,0.50033,1.09577,0.9079,0.82677,0.8999,0.65662,1.05453,0.93389,1.24789,0.001783,0.001783,0.001783
168,37210.9,0.51382,0.4929,1.089,0.90889,0.82739,0.90037,0.65607,1.055,0.93369,1.24895,0.0017335,0.0017335,0.0017335
169,37431.4,0.5143,0.49255,1.09095,0.90944,0.82572,0.90068,0.65788,1.05543,0.93467,1.24951,0.001684,0.001684,0.001684
170,37653.7,0.5159,0.49309,1.09162,0.91151,0.82214,0.90064,0.65793,1.05662,0.93546,1.25052,0.0016345,0.0016345,0.0016345
171,37876.3,0.51385,0.48929,1.0898,0.91032,0.81156,0.9,0.65781,1.05688,0.93724,1.25114,0.001585,0.001585,0.001585
172,38098.5,0.51227,0.48527,1.08994,0.90975,0.81014,0.89987,0.65795,1.05782,0.93778,1.25193,0.0015355,0.0015355,0.0015355
173,38320.5,0.50493,0.47649,1.08456,0.91468,0.81201,0.89975,0.65717,1.05876,0.93953,1.25321,0.001486,0.001486,0.001486
174,38541,0.50368,0.47902,1.08094,0.91038,0.81117,0.89922,0.65804,1.05929,0.94169,1.2539,0.0014365,0.0014365,0.0014365
175,38761.8,0.50291,0.47692,1.0821,0.91319,0.81407,0.89909,0.65767,1.06006,0.94464,1.25492,0.001387,0.001387,0.001387
176,38983.6,0.50091,0.47163,1.08123,0.91289,0.81431,0.89895,0.65686,1.06146,0.94493,1.25646,0.0013375,0.0013375,0.0013375
177,39206.2,0.49513,0.46866,1.07682,0.91033,0.81645,0.8988,0.65672,1.0621,0.94865,1.25732,0.001288,0.001288,0.001288
178,39428.2,0.4971,0.46955,1.07795,0.90686,0.8201,0.89863,0.65702,1.06345,0.95082,1.2594,0.0012385,0.0012385,0.0012385
179,39650.2,0.49055,0.46223,1.0782,0.90592,0.8201,0.8983,0.65654,1.06426,0.95386,1.26014,0.001189,0.001189,0.001189
180,39873,0.49167,0.46505,1.07533,0.90352,0.81965,0.89792,0.65616,1.06526,0.95651,1.26129,0.0011395,0.0011395,0.0011395
181,40094.7,0.49097,0.46124,1.07462,0.90184,0.82331,0.898,0.65514,1.06495,0.95872,1.2618,0.00109,0.00109,0.00109
182,40317.2,0.49029,0.46266,1.07534,0.90064,0.82471,0.89794,0.65536,1.06597,0.96214,1.26328,0.0010405,0.0010405,0.0010405
183,40539.5,0.4853,0.45688,1.07411,0.90149,0.82164,0.89792,0.65507,1.06701,0.96441,1.26399,0.000991,0.000991,0.000991
184,40760.7,0.48129,0.45314,1.07018,0.9019,0.82143,0.89776,0.65381,1.06701,0.96576,1.26478,0.0009415,0.0009415,0.0009415
185,40982,0.48155,0.45318,1.07036,0.89659,0.82624,0.89766,0.65364,1.06765,0.96839,1.2665,0.000892,0.000892,0.000892
186,41203.3,0.47819,0.44977,1.06698,0.89711,0.82363,0.89802,0.65281,1.0672,0.97021,1.26754,0.0008425,0.0008425,0.0008425
